year,month,region,road_type,animal,count,stat_type
2019,NULL,전체,국도,NULL,17502,연도별
2019,NULL,전체,고속도로,NULL,1866,연도별
2019,NULL,전체,지방도,NULL,1230,연도별
2019,NULL,전체,시군구도,NULL,716,연도별
2019,NULL,전체,기타도로,NULL,83,연도별
2020,NULL,전체,국도,NULL,11924,연도별
2020,NULL,전체,고속도로,NULL,1584,연도별
2020,NULL,전체,지방도,NULL,906,연도별
2020,NULL,전체,시군구도,NULL,689,연도별
2020,NULL,전체,기타도로,NULL,4,연도별
2021,NULL,전체,국도,NULL,13604,연도별
2021,NULL,전체,고속도로,NULL,1194,연도별
2021,NULL,전체,지방도,NULL,3710,연도별
2021,NULL,전체,시군구도,NULL,16715,연도별
2021,NULL,전체,기타도로,NULL,2038,연도별
2022,NULL,전체,국도,NULL,20883,연도별
2022,NULL,전체,고속도로,NULL,1265,연도별
2022,NULL,전체,지방도,NULL,7494,연도별
2022,NULL,전체,시군구도,NULL,30711,연도별
2022,NULL,전체,기타도로,NULL,3636,연도별
2019,NULL,전체,국도,고라니,9658,종별
2019,NULL,전체,고속도로,고라니,1495,종별
2019,NULL,전체,지방도,고라니,320,종별
2019,NULL,전체,시군구도,고라니,162,종별
2019,NULL,전체,기타도로,고라니,3,종별
2019,NULL,전체,국도,너구리,1521,종별
2019,NULL,전체,고속도로,너구리,81,종별
2019,NULL,전체,지방도,너구리,85,종별
2019,NULL,전체,시군구도,너구리,44,종별
2019,NULL,전체,기타도로,너구리,0,종별
2019,NULL,전체,국도,멧돼지,157,종별
2019,NULL,전체,고속도로,멧돼지,155,종별
2019,NULL,전체,지방도,멧돼지,3,종별
2019,NULL,전체,시군구도,멧돼지,0,종별
2019,NULL,전체,기타도로,멧돼지,0,종별
2019,NULL,전체,국도,노루,42,종별
2019,NULL,전체,고속도로,노루,18,종별
2019,NULL,전체,지방도,노루,342,종별
2019,NULL,전체,시군구도,노루,155,종별
2019,NULL,전체,기타도로,노루,0,종별
2019,NULL,전체,국도,오소리,99,종별
2019,NULL,전체,고속도로,오소리,31,종별
2019,NULL,전체,지방도,오소리,7,종별
2019,NULL,전체,시군구도,오소리,4,종별
2019,NULL,전체,기타도로,오소리,0,종별
2019,NULL,전체,국도,개,920,종별
2019,NULL,전체,고속도로,개,25,종별
2019,NULL,전체,지방도,개,38,종별
2019,NULL,전체,시군구도,개,30,종별
2019,NULL,전체,기타도로,개,3,종별
2019,NULL,전체,국도,고양이,4129,종별
2019,NULL,전체,고속도로,고양이,49,종별
2019,NULL,전체,지방도,고양이,260,종별
2019,NULL,전체,시군구도,고양이,213,종별
2019,NULL,전체,기타도로,고양이,10,종별
2019,NULL,전체,국도,기타,976,종별
2019,NULL,전체,고속도로,기타,12,종별
2019,NULL,전체,지방도,기타,175,종별
2019,NULL,전체,시군구도,기타,108,종별
2019,NULL,전체,기타도로,고양이,67,종별
2020,NULL,전체,국도,고라니,5580,종별
2020,NULL,전체,고속도로,고라니,1030,종별
2020,NULL,전체,지방도,고라니,156,종별
2020,NULL,전체,시군구도,고라니,98,종별
2020,NULL,전체,기타도로,고라니,0,종별
2020,NULL,전체,국도,너구리,1275,종별
2020,NULL,전체,고속도로,너구리,66,종별
2020,NULL,전체,지방도,너구리,42,종별
2020,NULL,전체,시군구도,너구리,32,종별
2020,NULL,전체,기타도로,너구리,0,종별
2020,NULL,전체,국도,멧돼지,57,종별
2020,NULL,전체,고속도로,멧돼지,71,종별
2020,NULL,전체,지방도,멧돼지,3,종별
2020,NULL,전체,시군구도,멧돼지,3,종별
2020,NULL,전체,기타도로,멧돼지,0,종별
2020,NULL,전체,국도,노루,69,종별
2020,NULL,전체,고속도로,노루,23,종별
2020,NULL,전체,지방도,노루,321,종별
2020,NULL,전체,시군구도,노루,197,종별
2020,NULL,전체,기타도로,노루,0,종별
2020,NULL,전체,국도,오소리,101,종별
2020,NULL,전체,고속도로,오소리,28,종별
2020,NULL,전체,지방도,오소리,3,종별
2020,NULL,전체,시군구도,오소리,4,종별
2020,NULL,전체,기타도로,오소리,0,종별
2020,NULL,전체,국도,개,537,종별
2020,NULL,전체,고속도로,개,68,종별
2020,NULL,전체,지방도,개,28,종별
2020,NULL,전체,시군구도,개,21,종별
2020,NULL,전체,기타도로,개,0,종별
2020,NULL,전체,국도,고양이,2563,종별
2020,NULL,전체,고속도로,고양이,167,종별
2020,NULL,전체,지방도,고양이,146,종별
2020,NULL,전체,시군구도,고양이,130,종별
2020,NULL,전체,기타도로,고양이,2,종별
2020,NULL,전체,국도,기타,1742,종별
2020,NULL,전체,고속도로,기타,131,종별
2020,NULL,전체,지방도,기타,207,종별
2020,NULL,전체,시군구도,기타,204,종별
2020,NULL,전체,기타도로,기타,2,종별
2021,NULL,전체,국도,고라니,5461,종별
2021,NULL,전체,고속도로,고라니,832,종별
2021,NULL,전체,지방도,고라니,603,종별
2021,NULL,전체,시군구도,고라니,3041,종별
