지역명,도로명,구간명,구간,방향,5km,관리소,위도,경도
경기도,국도,경기도1구간,310~315,북쪽,310,3,37.21747062,126.8719943
경기도,국도,경기도1구간,310~315,북쪽,310,3,37.21747062,126.8719943
경기도,지방도,경기도1구간,100~105,남쪽,100,4,37.41908589,126.828963
경기도,지방도,경기도2구간,325~330,북쪽,325,6,37.24895724,127.4213702
경기도,지방도,경기도2구간,325~330,남쪽,325,3,37.24895724,127.4213702
경기도,지방도,경기도2구간,345~350,북쪽,345,3,37.39776704,127.3107927
경기도,지방도,경기도2구간,320~325,북쪽,320,3,37.20776468,127.4422137
강원도,국도,강원도1구간,15~20,북쪽,15,3,37.48629241,129.0907032
강원도,국도,강원도1구간,25~30,남쪽,25,3,37.57440212,129.095934
강원도,국도,강원도2구간,90~95,북쪽,90,3,37.2367515,127.6082536
강원도,국도,강원도2구간,120~125,북쪽,120,3,37.3461271,127.8714305
강원도,국도,강원도2구간,125~130,북쪽,125,3,37.36874775,127.9176649
강원도,국도,강원도2구간,155~160,북쪽,155,4,37.47547139,128.155756
강원도,지방도,경기도2구간,315~320,북쪽,315,9,37.16308804,127.4400352
강원도,지방도,경기도2구간,325~330,북쪽,325,5,37.24895724,127.4213702
강원도,지방도,경기도2구간,360~365,북쪽,360,4,37.50779374,127.2272491
강원도,지방도,경기도2구간,370~375,북쪽,370,3,37.53205567,127.1953621
강원도,지방도,경기도2구간,380~385,북쪽,380,4,37.53205567,127.1953621
충청북도,국도,충청북도1구간,180~185,북쪽,180,4,36.69384504,128.1116517
충청북도,지방도,경기도2구간,245~250,남쪽,245,3,36.57914957,127.4275038
충청북도,지방도,경기도2구간,250~255,북쪽,250,4,36.62226637,127.4202485
충청북도,지방도,경기도2구간,255~260,남쪽,255,3,36.666547,127.4240858
충청북도,지방도,경기도2구간,255~260,북쪽,255,3,36.666547,127.4240858
충청북도,지방도,경기도2구간,260~265,남쪽,260,4,36.70880232,127.4375391
충청북도,지방도,경기도2구간,265~270,북쪽,265,6,36.74561896,127.4691292
충청북도,지방도,경기도2구간,265~270,남쪽,265,3,36.74561896,127.4691292
