지역명,경도,위도,도로거리,도로명
가야산_로드킬_001,128.1139481,35.7837,952.2011,지방도
가야산_로드킬_002,128.0797555,35.7938,2653.6408,지방도
가야산_로드킬관리소,128.0999096,35.8079,0,관리소
가야산_로드킬_001,129.3485815,35.7816,6826.2108,국도
가야산_로드킬_002,129.3529929,35.8147,7886.6648,국도
가야산_로드킬관리소,129.3555912,35.8206,0,관리소
계룡산_로드킬_001,127.2520036,36.3472,2277.812,국도
계룡산_로드킬_002,127.2642494,36.3429,3773.077,국도
계룡산_로드킬_003,127.2282398,36.3815,1509.9543,국도
계룡산_로드킬관리소,127.2203616,36.3545,0,관리소
내장산_로드킬_001,126.9187452,35.5007,8761.5059,국도
내장산_로드킬_002,126.9107078,35.5041,5413.4823,국도
내장산_로드킬_003,126.9179253,35.4874,2114.371,국도
내장산_로드킬_004,126.8855199,35.5113,2237.5919,국도
내장산_로드킬관리소,126.8553923,35.4709,0,관리소
다도해_로드킬_001,127.7814075,34.5922,936.4703,지방도
다도해_로드킬_002,126.7644477,34.3342,2532.2384,국도
다도해_로드킬_003,126.8941253,34.2025,5919.9416,국도
다도해_로드킬_004,127.5164581,34.4526,5944.0618,국도
다도해_로드킬_005,126.6605564,34.1931,1502.8616,국도
다도해_로드킬_006,126.5140722,34.1622,3007.7561,국도
다도해_로드킬_007,126.5986946,34.1672,620.5391,국도
다도해_로드킬_008,127.7994417,34.6017,864.2444,국도
다도해_로드킬_009,127.7920382,34.497,2417.1849,국도
다도해_로드킬_010,127.3049311,34.0553,1338.9932,국도
다도해_로드킬관리소,127.4763244,34.4679,0,관리소
무등산_로드킬_001,126.1611309,34.3645,3872.5454,국도
무등산_로드킬_002,126.0413148,34.3138,14645.1597,국도
무등산_로드킬_003,125.4187399,34.6692,26501.7596,국도
무등산_로드킬_004,125.8953789,34.7519,3638.7001,국도
무등산_로드킬관리소,125.8953789,34.7519,0,관리소
무주_로드킬_001,127.7678166,35.9326,16114.7604,국도
무주_로드킬_002,127.7369697,35.9182,9350.3199,국도
무주_로드킬_003,127.6941005,35.9619,10431.5041,국도
무주_로드킬_004,127.7956418,35.9633,4397.9978,국도
무주_로드킬_005,127.6904907,35.8231,2536.5052,국도
무주_로드킬_006,127.7163486,35.9195,2080.1134,국도
무주_로드킬관리소,127.7642246,35.8854,0,관리소
변산_로드킬_001,126.9606353,35.0842,1067.9518,국도
변산_로드킬_001,126.973189,35.1571,7724.4039,국도
변산_로드킬_002,126.9869538,35.164,1854.5413,국도
변산_로드킬_003,126.9616526,35.1319,1530.6308,국도
변산_로드킬관리소,126.980779,35.1509,0,관리소
설악산_로드킬_001,126.8801725,35.4272,2247.6026,국도
설악산_로드킬_002,126.8461131,35.4476,3415.1921,국도
설악산_로드킬관리소,126.8461131,35.4476,0,관리소
소백산_로드킬_001,126.5970999,35.6598,13383.7732,국도
소백산_로드킬_002,126.6321019,35.6374,4554.691,국도
소백산_로드킬_003,126.4672665,35.6389,1170.8323,국도
소백산_로드킬_004,126.5669846,35.6765,2235.9812,국도
소백산_로드킬관리소,126.582075,35.647,0,관리소
속리산_로드킬_001,126.9989788,37.6572,1614.1672,국도
속리산_로드킬관리소,126.9853908,37.6507,0,관리소
오대산_로드킬_001,128.391064,38.101,24651.5466,국도
오대산_로드킬_002,128.425986,38.217,3178.1327,국도
오대산_로드킬_003,128.446255,38.2127,2853.7217,국도
오대산_로드킬_004,128.5299131,38.179,2856.9643,국도
오대산_로드킬_005,128.50549,38.1711,1131.9732,국도
오대산_로드킬_006,128.4010931,38.091,1741.5382,국도
오대산_로드킬관리소,128.4153535,38.1338,0,관리소
월악산_로드킬_001,128.4548561,36.9007,5659.1406,국도
월악산_로드킬_002,128.5215325,36.9056,1266.7046,국도
월악산_로드킬_003,128.6588821,37.0242,5928.3747,국도
월악산_로드킬_004,128.5480428,36.9488,822.5154,국도
월악산_로드킬_005,128.5883513,37.0135,7321.9049,국도
월악산_로드킬관리소,128.5149468,36.9764,0,관리소
월악산_로드킬_001,128.421133,36.9076,5442.6356,국도
월악산_로드킬관리소,128.421133,36.9076,0,관리소
지리산_로드킬_001,127.8733635,36.5897,4119.1362,국도
지리산_로드킬_002,127.8338308,36.6777,5493.2422,국도
지리산_로드킬_003,127.9033749,36.7345,11899.9637,국도
지리산_로드킬_004,127.8235942,36.4883,5517.9541,국도
지리산_로드킬_005,127.8746136,36.5033,4160.9407,국도
지리산_로드킬_006,127.9447163,36.6899,3812.3647,국도
지리산_로드킬_007,127.7984991,36.5945,426.8245,국도
지리산_로드킬_008,127.8549892,36.6863,1631.1818,국도
지리산_로드킬_009,127.8424458,36.7466,3802.9979,국도
지리산_로드킬관리소,127.8789419,36.6895,0,관리소
치악산_로드킬_001,128.5809816,37.7553,9236.6933,국도
치악산_로드킬_002,128.6169457,37.7688,14838.7005,국도
치악산_로드킬_003,128.5043608,37.6945,4393.0889,국도
치악산_로드킬관리소,128.5852584,37.7781,0,관리소
태백산_로드킬_001,128.0850818,36.8423,9624.1933,국도
태백산_로드킬_002,128.2963322,36.8722,11591.9796,국도
태백산_로드킬_003,128.1941913,36.9271,7999.1232,국도
