강,동물명,멸종위기종,야생동물국제거래협약(CITES),천연기념물,발견된 주소,위도,경도,구조일자,발생원인
포유강(Mammalia),고라니,해당없음,해당없음,해당없음,울산 울주군 온양읍 운화리 311-1,35.41052778,129.2675,2023-06-03,차량과의 충돌
포유강(Mammalia),고라니,해당없음,해당없음,해당없음,울산 울주군 언양읍 직동리 445-34,35.582,129.1364444,2023-06-04,차량과의 충돌
포유강(Mammalia),고라니,해당없음,해당없음,해당없음,울산광역시 울주군 청량읍 삼정리 산96-10,35.49125,129.2296944,2023-06-06,차량과의 충돌
포유강(Mammalia),고라니,해당없음,해당없음,해당없음,울산 북구 창평동 1149-3,35.61072222,129.3518611,2023-06-07,차량과의 충돌
포유강(Mammalia),고라니,해당없음,해당없음,해당없음,울산 북구 산하동 933,35.64261111,129.4303333,2023-06-08,차량과의 충돌
포유강(Mammalia),고라니,해당없음,해당없음,해당없음,울산광역시 울주군 웅촌면 검단리 164-9,35.46213889,129.1891389,2023-06-18,차량과의 충돌
포유강(Mammalia),너구리,해당없음,해당없음,해당없음,울산 북구 양정동 50-7,35.55106809,129.383771,2023-07-06,차량과의 충돌
포유강(Mammalia),족제비,해당없음,해당없음,해당없음,울산 남구 삼산동 1487-10,35.54841667,129.3291667,2023-07-08,차량과의 충돌
포유강(Mammalia),고라니,해당없음,해당없음,해당없음,울산 중구 교동 130-3,35.56288889,129.31475,2023-07-11,차량과의 충돌
조강(Aves),어치,해당없음,해당없음,해당없음,울산 남구 무거동 702,35.54225,129.2563056,2023-07-18,차량과의 충돌
조강(Aves),집비둘기,해당없음,해당없음,해당없음,울산 울주군 범서읍 굴화리 377-21,35.55552778,129.2599167,2023-07-18,차량과의 충돌
포유강(Mammalia),고라니,해당없음,해당없음,해당없음,울산광역시 남구 무거동 128-5,35.55230556,129.2709167,2023-07-19,차량과의 충돌
조강(Aves),꿩,해당없음,해당없음,해당없음,울산 울주군 청량읍 중리 산124-20,35.46566667,129.2469444,2023-07-23,차량과의 충돌
포유강(Mammalia),고라니,해당없음,해당없음,해당없음,울산 남구 무거동 1280,35.54430556,129.2942222,2023-07-27,차량과의 충돌
조강(Aves),흰뺨검둥오리,해당없음,해당없음,해당없음,울산 울주군 범서읍 구영리 207-1,35.5728056,129.243333,2023-08-01,차량과의 충돌
조강(Aves),괭이갈매기,해당없음,해당없음,해당없음,울산광역시 울주군 청량읍 용암리 937,35.4778056,129.333861,2023-08-12,차량과의 충돌
포유강(Mammalia),고라니,해당없음,해당없음,해당없음,울산 동구 주전동 379,35.5615207,129.451667,2023-08-13,차량과의 충돌
포유강(Mammalia),노루,해당없음,해당없음,해당없음,울산광역시 북구 양정동 630-1,35.5393056,129.386528,2023-08-14,차량과의 충돌
조강(Aves),멧비둘기,해당없음,해당없음,해당없음,울산 울주군 온양읍 망양리 산44-5,35.451,129.285528,2023-08-16,차량과의 충돌
조강(Aves),흰뺨검둥오리,해당없음,해당없음,해당없음,울산광역시 북구 상방로 9,35.5925,129.35925,2023-08-17,차량과의 충돌
조강(Aves),참새,해당없음,해당없음,해당없음,울산 북구 두부곡1길 25 중앙도서관,35.5843611,129.36775,2023-08-23,차량과의 충돌
조강(Aves),집비둘기,해당없음,해당없음,해당없음,울산 북구 달천동 1-28,35.6343749,129.329697,2023-08-26,차량과의 충돌
포유강(Mammalia),고라니,해당없음,해당없음,해당없음,울산광역시 북구 화봉동 1300-36,35.5861667,129.358306,2023-08-26,차량과의 충돌
조강(Aves),흰뺨검둥오리,해당없음,해당없음,해당없음,울산광역시 중구 남외동 952-4,35.5649167,129.342361,2023-08-27,차량과의 충돌
조강(Aves),황로,해당없음,부속서 3종,해당없음,울산광역시 울주군 청량읍 문죽리 산40-4,35.5281389,129.273472,2023-09-04,차량과의 충돌
포유강(Mammalia),노루,해당없음,해당없음,해당없음,울산광역시 울주군 웅촌면 대복리 110,35.4971389,129.219167,2023-09-05,차량과의 충돌
조강(Aves),솔부엉이,해당없음,부속서 2종,324-3,울산광역시 중구 우정동 526,35.56475,129.309028,2023-09-08,차량과의 충돌
조강(Aves),집비둘기,해당없음,해당없음,해당없음,울산광역시 동구 서부동 248-21,35.5249444,129.426472,2023-09-08,차량과의 충돌
포유강(Mammalia),고라니,해당없음,해당없음,해당없음,울산광역시 남구 선암동 735,35.51475,129.314611,2023-09-08,차량과의 충돌
조강(Aves),집비둘기,해당없음,해당없음,해당없음,울산 남구 신정동 479-31,35.5461944,129.309861,2023-09-11,차량과의 충돌
포유강(Mammalia),고라니,해당없음,해당없음,해당없음,울산광역시 남구 어은로 34,35.5519722,129.274806,2023-09-12,차량과의 충돌
포유강(Mammalia),수달,1급,부속서 1종,해당없음,울산광역시 울주군 온산읍 덕신로 180,35.433416,129.30025,2023-09-18,차량과의 충돌
